"CONVERTED TYPES OF ENERGY";"100050 Other manufacture of food products";3652085;4079655;2559703;2344473;2633309;2485307;2554824;2783937;2638228;2561416;2422210;2973857;3736212;3810870;3487973;4194924;3787973;3855733;3793008;3599808;3519013;3794987;3839125;3850616;3830646;4122156;4027905;4135515;3869717;3585682;4410833;4132675;3755987;4106245;4251739;4325701;4500238;3991025;3737534;4878506;5424398;4734554;5950764;5481210;5276130;5169966;5071013;4594537;3894327;3711901;3227053;3353794;3347797;3009868;3126454;3459591;..
"CONVERTED TYPES OF ENERGY";"110000 Manufacture of beverages";1058821;1175274;786741;749527;853249;802387;826472;873244;836097;842081;834617;1062993;1140984;852890;968338;1177254;1007515;1221473;1281020;1174385;1184604;1200891;1190932;1364653;1301678;1366749;1308458;1166540;1217441;1222749;1276784;1608005;1595322;1119561;1692752;1673670;1742246;1759930;1629302;1659403;1938305;1838587;1915375;1730027;1615167;1353458;998333;1052322;1043454;1006305;990025;928414;835733;739819;742114;823509;..
"CONVERTED TYPES OF ENERGY";"120000 Manufacture of tobacco products";268582;300784;201175;190914;211271;205847;220097;229535;198116;192598;203467;192070;208978;140745;169462;188746;168656;166993;178734;167953;199209;205416;202623;189476;205131;185728;187381;157781;153968;148722;164454;153365;143702;157610;151409;156458;162667;178214;166974;168905;215509;284252;214968;197661;181104;176152;151904;113147;62470;55643;66500;62446;56194;50573;51582;56595;..
"CONVERTED TYPES OF ENERGY";"CB Textiles and leather products";3325929;3702671;2359298;2178596;2449785;2304949;2387604;2588264;2477858;2429597;2556532;2419534;2757015;2191754;2254566;2452125;2384114;2494401;2674245;2437979;2525166;2496426;2226033;1913919;1982446;1891576;1939791;1735214;1733650;1572547;1783428;1560002;1417275;1726799;1643859;1624441;1690126;1644537;1532551;1213231;1310706;1281123;1161567;1100619;1021045;887009;742633;743915;700841;633063;633723;619329;581466;527852;543005;600097;586107
"CONVERTED TYPES OF ENERGY";"13150 Textiles and leather products";3325929;3702671;2359298;2178596;2449785;2304949;2387604;2588264;2477858;2429597;2556532;2419534;2757015;2191754;2254566;2452125;2384114;2494401;2674245;2437979;2525166;2496426;2226033;1913919;1982446;1891576;1939791;1735214;1733650;1572547;1783428;1560002;1417275;1726799;1643859;1624441;1690126;1644537;1532551;1213231;1310706;1281123;1161567;1100619;1021045;887009;742633;743915;700841;633063;633723;619329;581466;527852;543005;600097;..
"CONVERTED TYPES OF ENERGY";"130000 Manufacture of textiles";2513722;2809781;1757060;1604827;1800911;1693741;1752799;1915548;1830378;1773531;1837925;1657602;1917078;1503604;1400928;1616094;1576851;1755517;1892916;1758212;1739100;1684627;1463429;1321216;1410371;1371147;1408045;1297492;1298777;1179070;1294473;1199123;1104115;1318066;1284528;1254116;1304322;1186899;1113225;1013107;1076634;994094;965920;908514;845782;760082;653329;676713;662800;599821;595189;589603;561325;507152;519529;574386;..
"CONVERTED TYPES OF ENERGY";"140000 Manufacture of wearing apparel";520450;569569;392713;378662;428674;403544;419210;440665;425834;435577;490894;455802;480526;472851;627855;590245;564169;521892;579465;506960;605949;629604;588309;435970;411600;350234;362704;320857;324165;292817;389977;276815;234827;325855;287457;303469;316315;380194;346176;187099;219030;268654;165315;149799;135847;98512;65615;47445;24096;20492;29889;24366;18165;19289;22390;24496;..
"CONVERTED TYPES OF ENERGY";"150000 Manufacture of leather and footwear";291757;323321;209525;195107;220199;207664;215595;232051;221645;220489;227712;306130;359411;215300;225782;245786;243094;216992;201864;172806;180117;182195;174295;156733;160474;170194;169042;116865;110707;100660;98978;84064;78333;82878;71874;66856;69488;77445;73150;13024;15042;18375;30333;42305;39416;28414;23689;19757;13944;12750;8644;5360;1976;1412;1086;1215;..
"CONVERTED TYPES OF ENERGY";"CC Wood and paper products and printing";7460964;8343572;5218586;4768286;5347078;5027870;5188065;5657580;5387927;5219855;5396855;5539333;6323789;6004598;5752987;6111153;5601380;6129891;6468513;6138142;6304363;6438377;6512242;6172905;6463037;6105408;7200241;7873055;8226455;7855926;8822967;8634289;8470263;8451423;8070407;7762129;8078250;9885126;9118285;6188938;6781336;6405835;5742060;5051801;4695046;4250731;3732414;3733287;3505910;3200263;3135239;3158369;3060010;2669340;2648807;2907511;2833027
"CONVERTED TYPES OF ENERGY";"16000 Manufacture of wood and wood products";3465582;3883038;2382496;2148736;2404870;2259620;2334764;2571872;2437426;2340151;2323965;2466970;2681411;2504232;2088802;2121630;1867066;2138004;2288702;2161058;2080640;2003135;1925258;1829095;1852958;1763274;2062696;2165054;2248525;2073599;2242148;2220299;2139624;2061037;1907070;1726961;1794111;3112818;2874593;2704200;2838348;2661677;1988283;1736116;1620597;1506313;1377219;1455339;1455699;1285798;1396139;1362808;1278402;1139577;1155939;1263088;..
"CONVERTED TYPES OF ENERGY";"160000 Manufacture of wood and wood products";3465582;3883038;2382496;2148736;2404870;2259620;2334764;2571872;2437426;2340151;2323965;2466970;2681411;2504232;2088802;2121630;1867066;2138004;2288702;2161058;2080640;2003135;1925258;1829095;1852958;1763274;2062696;2165054;2248525;2073599;2242148;2220299;2139624;2061037;1907070;1726961;1794111;3112818;2874593;2704200;2838348;2661677;1988283;1736116;1620597;1506313;1377219;1455339;1455699;1285798;1396139;1362808;1278402;1139577;1155939;1263088;..
"CONVERTED TYPES OF ENERGY";"17000 Manufacture of paper and paper products";3167724;3545625;2197589;1995757;2237421;2103613;2173258;2381860;2262321;2180082;2298851;2094510;2587332;2355046;2380411;2669437;2446976;2910952;2950051;2627897;2947553;3067497;2918994;2894647;2830885;3026320;3826097;4396275;4418095;4407861;5094540;4994916;5011685;4697277;4380680;4195807;4371184;4559618;4180176;1716632;1888124;1727293;1892714;1782997;1656975;1568840;1377861;1353231;1239638;1122476;995792;1095925;1150531;1025815;1038731;1146944;..
"CONVERTED TYPES OF ENERGY";"170000 Manufacture of paper and paper products";3167724;3545625;2197589;1995757;2237421;2103613;2173258;2381860;2262321;2180082;2298851;2094510;2587332;2355046;2380411;2669437;2446976;2910952;2950051;2627897;2947553;3067497;2918994;2894647;2830885;3026320;3826097;4396275;4418095;4407861;5094540;4994916;5011685;4697277;4380680;4195807;4371184;4559618;4180176;1716632;1888124;1727293;1892714;1782997;1656975;1568840;1377861;1353231;1239638;1122476;995792;1095925;1150531;1025815;1038731;1146944;..
"CONVERTED TYPES OF ENERGY";"18000 Printing etc.";827659;914909;638501;623793;704787;664637;680043;703848;688180;699621;774039;977853;1055046;1145319;1283774;1320086;1287338;1080935;1229760;1349186;1276170;1367746;1667989;1449164;1779194;1315814;1311449;1311727;1559834;1374466;1486279;1419074;1318954;1693109;1782656;1839362;1912954;2212690;2063517;1768106;2054864;2016865;1861062;1532688;1417474;1175579;977333;924718;810572;791989;743308;699636;631077;503948;454136;497479;..
"CONVERTED TYPES OF ENERGY";"180000 Printing etc.";827659;914909;638501;623793;704787;664637;680043;703848;688180;699621;774039;977853;1055046;1145319;1283774;1320086;1287338;1080935;1229760;1349186;1276170;1367746;1667989;1449164;1779194;1315814;1311449;1311727;1559834;1374466;1486279;1419074;1318954;1693109;1782656;1839362;1912954;2212690;2063517;1768106;2054864;2016865;1861062;1532688;1417474;1175579;977333;924718;810572;791989;743308;699636;631077;503948;454136;497479;..
"CONVERTED TYPES OF ENERGY";"CD Oil refinery etc.";2859787;3211574;1940874;1732924;1932662;1813686;1870849;2075129;1958659;1830513;1640092;1599104;1995091;1879073;1654762;2219994;2614616;2947836;2932955;2633686;2622528;2705296;2684381;2595506;2727213;2976501;2961694;2610111;2873179;2837286;3047765;2303325;1945668;2127115;1701316;1312610;1348224;1986758;1841212;1560182;1935191;2458805;3086599;2874436;2708054;2532451;2396544;2476716;2480245;2252194;2425794;2419713;2340914;2164892;1263111;1336464;1310068
"CONVERTED TYPES OF ENERGY";"19000 Oil refinery etc.";2859787;3211574;1940874;1732924;1932662;1813686;1870849;2075129;1958659;1830513;1640092;1599104;1995091;1879073;1654762;2219994;2614616;2947836;2932955;2633686;2622528;2705296;2684381;2595506;2727213;2976501;2961694;2610111;2873179;2837286;3047765;2303325;1945668;2127115;1701316;1312610;1348224;1986758;1841212;1560182;1935191;2458805;3086599;2874436;2708054;2532451;2396544;2476716;2480245;2252194;2425794;2419713;2340914;2164892;1263111;1336464;..
"CONVERTED TYPES OF ENERGY";"190000 Oil refinery etc.";2859787;3211574;1940874;1732924;1932662;1813686;1870849;2075129;1958659;1830513;1640092;1599104;1995091;1879073;1654762;2219994;2614616;2947836;2932955;2633686;2622528;2705296;2684381;2595506;2727213;2976501;2961694;2610111;2873179;2837286;3047765;2303325;1945668;2127115;1701316;1312610;1348224;1986758;1841212;1560182;1935191;2458805;3086599;2874436;2708054;2532451;2396544;2476716;2480245;2252194;2425794;2419713;2340914;2164892;1263111;1336464;..
"CONVERTED TYPES OF ENERGY";"CE Manufacture of chemicals";5355922;5998371;3706735;3362895;3757957;3537432;3664498;4027966;3799537;3647425;3658677;3778742;4427860;4730960;3955718;5165228;4566284;4027539;4194529;3983957;4105804;4419239;4888304;5261731;6131426;6164411;6759205;6724914;6913795;6791231;6960096;8034887;6137350;5768486;6369944;6706033;6973279;6614040;5868925;5893405;6048481;5046425;4997121;4921121;4572797;4917608;5603816;5622507;5354076;5106567;6197817;5923675;5435848;4890422;4973822;5463277;5335712
"CONVERTED TYPES OF ENERGY";"20000 Manufacture of chemicals";5355922;5998371;3706735;3362895;3757957;3537432;3664498;4027966;3799537;3647425;3658677;3778742;4427860;4730960;3955718;5165228;4566284;4027539;4194529;3983957;4105804;4419239;4888304;5261731;6131426;6164411;6759205;6724914;6913795;6791231;6960096;8034887;6137350;5768486;6369944;6706033;6973279;6614040;5868925;5893405;6048481;5046425;4997121;4921121;4572797;4917608;5603816;5622507;5354076;5106567;6197817;5923675;5435848;4890422;4973822;5463277;..
"CONVERTED TYPES OF ENERGY";"200010 Manufacture of basic chemicals";4615769;5171620;3175443;2865620;3207506;3014323;3114890;3431050;3246589;3119196;3087571;3139269;3745127;4089909;2986753;4048790;3639121;3177090;3258515;3090804;3101818;3227341;3395168;3561063;4134780;4381134;5016563;5246778;5199363;5170882;4886204;6021091;4310005;3999648;4523707;4835898;5029436;4540144;3927730;4048360;4209294;3690899;3368640;3024133;2807679;3244943;3893263;3738278;3389260;3223563;4036013;3923292;3669487;3204044;3156260;3455510;..
"CONVERTED TYPES OF ENERGY";"200020 Manufacture of paints and soap etc.";740153;826751;531291;497275;550451;523109;549608;596915;552948;528229;571106;639473;682733;641052;968965;1116438;927164;850449;936014;893152;1003986;1191898;1493136;1700669;1996647;1783277;1742642;1478136;1714432;1620349;2073892;2013796;1827344;1768839;1846238;1870135;1943843;2073897;1941194;1845046;1839187;1355526;1628480;1896988;1765118;1672665;1710553;1884229;1964816;1883004;2161804;2000384;1766361;1686379;1817561;2007767;..
"CONVERTED TYPES OF ENERGY";"CF Pharmaceuticals";1277201;1427729;885661;804430;902011;847629;876766;961348;911842;881854;921594;1099499;1450292;1620598;1872053;1499434;1745849;2625928;3196210;3038313;3059507;3241566;3550379;2794072;2184745;2129083;2160606;2051291;2158307;2162150;3448516;1902974;2249717;3535379;3394253;3237591;3369525;3788612;3501515;4365954;4745400;3954527;3789286;3608269;3486046;2949132;2587460;2813162;2887986;2705331;2815151;2886237;2840177;2750139;3033125;3265262;3163132
"CONVERTED TYPES OF ENERGY";"21000 Pharmaceuticals";1277201;1427729;885661;804430;902011;847629;876766;961348;911842;881854;921594;1099499;1450292;1620598;1872053;1499434;1745849;2625928;3196210;3038313;3059507;3241566;3550379;2794072;2184745;2129083;2160606;2051291;2158307;2162150;3448516;1902974;2249717;3535379;3394253;3237591;3369525;3788612;3501515;4365954;4745400;3954527;3789286;3608269;3486046;2949132;2587460;2813162;2887986;2705331;2815151;2886237;2840177;2750139;3033125;3265262;..
"CONVERTED TYPES OF ENERGY";"210000 Pharmaceuticals";1277201;1427729;885661;804430;902011;847629;876766;961348;911842;881854;921594;1099499;1450292;1620598;1872053;1499434;1745849;2625928;3196210;3038313;3059507;3241566;3550379;2794072;2184745;2129083;2160606;2051291;2158307;2162150;3448516;1902974;2249717;3535379;3394253;3237591;3369525;3788612;3501515;4365954;4745400;3954527;3789286;3608269;3486046;2949132;2587460;2813162;2887986;2705331;2815151;2886237;2840177;2750139;3033125;3265262;..
